latitude,longitude,valid_time,lead_day,u10,v10,wind_speed,wind_direction,temperature_C,r2,pressure_hPa,tp
5.0,65.0,2026-08-28,1,2.9199023,1.9921631,3.5347621,235.69543,27.75,75.4,1012.53174,0.1875
5.0,65.25,2026-08-28,1,2.9199023,1.8221631,3.4418175,238.03381,27.75,75.9,1012.53375,0.0625
5.0,65.5,2026-08-28,1,2.6899023,1.8421631,3.260236,235.59496,27.75,76.7,1012.59375,0.0625
5.0,65.75,2026-08-28,1,2.3899024,1.8521631,3.0235975,232.22449,27.75,76.1,1012.6758,0.0625
5.0,66.0,2026-08-28,1,2.4099023,2.0221632,3.1459136,229.9998,27.850006,75.5,1012.69977,0.0625
5.0,66.25,2026-08-28,1,2.4199023,1.9821631,3.128082,230.6788,27.850006,76.6,1012.71375,0.0625
5.0,66.5,2026-08-28,1,2.5599024,1.382163,2.9092052,241.63416,27.850006,75.6,1012.6858,0.0
5.0,66.75,2026-08-28,1,2.5499024,0.9821631,2.7325165,248.93448,27.850006,73.9,1012.73975,0.0
5.0,67.0,2026-08-28,1,2.2899024,0.9821631,2.4916456,246.785,27.950012,72.7,1012.8477,0.0
5.0,67.25,2026-08-28,1,2.4699023,1.0321631,2.676897,247.32013,27.950012,72.4,1012.9158,0.0
5.0,67.5,2026-08-28,1,3.1699023,0.74216306,3.2556238,256.8228,28.050018,72.7,1012.8558,0.125
5.0,67.75,2026-08-28,1,3.8999023,0.4221631,3.9226854,263.8218,28.050018,73.3,1012.70374,0.9375
5.0,68.0,2026-08-28,1,3.7699022,0.7521631,3.844205,258.71664,27.950012,74.4,1012.7177,2.0
5.0,68.25,2026-08-28,1,4.0099025,0.4621631,4.036448,263.42535,27.850006,74.0,1012.70374,1.5625
5.0,68.5,2026-08-28,1,4.539902,0.14216308,4.5421276,268.20642,28.050018,74.2,1012.62976,0.8125
5.0,68.75,2026-08-28,1,4.8399024,-0.027836913,4.8399825,270.32953,28.149994,74.3,1012.5758,1.5625
5.0,69.0,2026-08-28,1,4.5899024,0.102163084,4.591039,268.7249,28.149994,73.8,1012.59174,2.8125
5.0,69.25,2026-08-28,1,4.349902,0.3921631,4.3675437,264.84845,28.25,73.3,1012.6217,2.375
5.0,69.5,2026-08-28,1,4.1999025,0.6621631,4.251781,261.0404,28.350006,72.8,1012.5658,0.6875
5.0,69.75,2026-08-28,1,3.9199023,0.6021631,3.9658837,261.26666,28.350006,72.8,1012.69775,0.375
5.0,70.0,2026-08-28,1,3.5599024,0.4321631,3.586038,263.0783,28.149994,73.6,1012.71576,0.75
5.0,70.25,2026-08-28,1,4.579902,-0.15783691,4.582621,271.97382,27.950012,75.0,1012.4938,0.4375
5.0,70.5,2026-08-28,1,5.1499023,-0.33783692,5.1609716,273.75327,28.050018,74.9,1012.3998,0.4375
5.0,70.75,2026-08-28,1,4.289902,-0.24783692,4.2970552,273.30643,28.25,74.1,1012.6117,1.25
5.0,71.0,2026-08-28,1,3.7199023,0.022163086,3.7199683,269.65863,28.149994,75.1,1012.6598,2.0
5.0,71.25,2026-08-28,1,3.3199024,0.5321631,3.3622835,260.89325,27.550018,78.5,1012.8638,3.5
5.0,71.5,2026-08-28,1,4.039902,0.4321631,4.0629516,263.8941,27.350006,78.3,1012.8377,3.6875
5.0,71.75,2026-08-28,1,4.5499024,0.38216308,4.565924,265.1988,27.550018,77.3,1012.8617,1.625
5.0,72.0,2026-08-28,1,4.6699023,0.5621631,4.703617,263.13577,27.649994,76.7,1012.8258,0.5625
5.0,72.25,2026-08-28,1,4.6299024,0.5021631,4.6570554,263.80988,27.550018,77.9,1012.8638,1.5
5.0,72.5,2026-08-28,1,4.9099026,0.47216308,4.9325533,264.50702,27.649994,77.7,1012.74774,0.875
5.0,72.75,2026-08-28,1,5.2499022,0.28216308,5.2574797,266.92352,27.649994,77.7,1012.6317,0.125
5.0,73.0,2026-08-28,1,5.079902,0.22216308,5.084758,267.49585,27.75,77.0,1012.6477,0.0
5.0,73.25,2026-08-28,1,4.8599024,0.41216308,4.8773484,265.1524,27.75,76.7,1012.66974,0.0
5.0,73.5,2026-08-28,1,4.7199025,0.7121631,4.7733274,261.41965,27.850006,76.3,1012.7277,0.0625
5.0,73.75,2026-08-28,1,5.349902,0.9121631,5.4271073,260.32407,27.850006,76.2,1012.66376,0.3125
5.0,74.0,2026-08-28,1,5.329902,0.9621631,5.416052,259.7671,27.850006,76.2,1012.63776,0.5
5.0,74.25,2026-08-28,1,4.9499025,1.002163,5.0503335,258.55453,27.850006,77.0,1012.74774,0.1875
5.0,74.5,2026-08-28,1,5.1499023,1.2021631,5.2883544,256.8605,27.649994,77.7,1012.7458,0.0625
5.0,74.75,2026-08-28,1,5.5499024,1.2821631,5.6960826,256.99152,27.75,77.2,1012.73376,0.0
5.0,75.0,2026-08-28,1,5.8399024,1.1721631,5.956377,258.65063,27.850006,76.9,1012.68774,0.0625
5.0,75.25,2026-08-28,1,5.8199024,1.1621631,5.934803,258.70728,27.950012,76.6,1012.7177,0.25
5.0,75.5,2026-08-28,1,5.9499025,1.3021631,6.0907283,257.6552,27.850006,76.8,1012.7438,0.125
5.0,75.75,2026-08-28,1,6.1499023,1.402163,6.3077226,257.15625,27.850006,77.2,1012.68774,0.125
5.0,76.0,2026-08-28,1,6.1699023,1.5821631,6.3695316,255.61743,27.950012,77.3,1012.66376,0.5625
5.0,76.25,2026-08-28,1,6.309902,1.5921631,6.507676,255.83832,27.950012,77.2,1012.6717,0.9375
5.0,76.5,2026-08-28,1,6.7999024,1.4221631,6.9470296,258.18716,27.950012,77.3,1012.5998,0.875
5.0,76.75,2026-08-28,1,7.1799026,1.6121631,7.3586736,257.3448,28.050018,77.3,1012.5277,1.5625
5.0,77.0,2026-08-28,1,6.9699025,2.092163,7.2771344,253.29178,27.75,78.5,1012.64575,3.5625
5.0,77.25,2026-08-28,1,6.809902,2.2321632,7.166402,251.85179,27.75,78.5,1012.6398,2.375
5.0,77.5,2026-08-28,1,7.2999024,2.2921631,7.651313,252.56776,27.850006,77.8,1012.45374,2.4375
5.0,77.75,2026-08-28,1,7.0499024,2.5221632,7.487485,250.31491,27.649994,78.7,1012.41174,2.875
5.0,78.0,2026-08-28,1,6.559902,2.462163,7.0067515,249.42712,27.450012,79.8,1012.6117,2.625
5.0,78.25,2026-08-28,1,6.6799026,2.702163,7.2057467,247.97562,27.450012,79.2,1012.55975,3.375
5.0,78.5,2026-08-28,1,6.0099025,2.942163,6.691431,243.91583,27.050018,80.9,1012.65576,6.9375
5.0,78.75,2026-08-28,1,6.4299026,3.212163,7.187603,243.45483,27.25,79.8,1012.5977,6.1875
5.0,79.0,2026-08-28,1,6.4399023,3.2921631,7.232612,242.92328,27.350006,79.2,1012.64575,4.0625
5.0,79.25,2026-08-28,1,6.139902,3.372163,7.0049896,241.2235,27.050018,80.6,1012.6577,3.5625
5.0,79.5,2026-08-28,1,6.139902,3.692163,7.1645284,238.97987,27.050018,81.1,1012.61975,4.0
5.0,79.75,2026-08-28,1,6.4399023,3.662163,7.408359,240.37453,27.050018,80.8,1012.6158,3.75
5.0,80.0,2026-08-28,1,6.619902,3.622163,7.5460696,241.31418,26.950012,81.6,1012.61975,3.75
5.0,80.25,2026-08-28,1,7.2199025,3.7921631,8.155212,242.28986,26.950012,82.3,1012.3817,3.6875
5.0,80.5,2026-08-28,1,7.4099026,3.822163,8.337601,242.71451,27.149994,81.2,1012.29175,2.5625
5.0,80.75,2026-08-28,1,7.4299026,3.7821631,8.337158,243.02182,27.25,80.4,1012.26776,1.3125
5.0,81.0,2026-08-28,1,7.579902,3.902163,8.525362,242.76042,27.350006,80.2,1012.1937,1.0
5.0,81.25,2026-08-28,1,7.849902,4.092163,8.8525,242.46692,27.550018,79.9,1012.17773,1.375
5.0,81.5,2026-08-28,1,8.299902,4.382163,9.385719,242.16695,27.649994,79.4,1011.9958,1.75
5.0,81.75,2026-08-28,1,8.079903,4.562163,9.27891,240.54959,27.649994,79.6,1011.96173,2.375
5.0,82.0,2026-08-28,1,7.7299023,4.812163,9.1054,238.09615,27.550018,80.0,1012.03375,2.0
5.0,82.25,2026-08-28,1,7.8599024,5.092163,9.365265,237.06216,27.550018,80.2,1011.94775,1.375
5.0,82.5,2026-08-28,1,7.769902,5.472163,9.50347,234.84384,27.649994,80.0,1011.8717,1.25
5.0,82.75,2026-08-28,1,7.4799023,5.762163,9.442005,232.39105,27.649994,79.9,1011.8817,1.25
5.0,83.0,2026-08-28,1,7.4399023,5.822163,9.447207,231.95473,27.649994,80.0,1011.9437,1.75
5.0,83.25,2026-08-28,1,7.4299026,5.882163,9.47646,231.63177,27.75,80.2,1011.8558,2.5
5.0,83.5,2026-08-28,1,7.0699024,6.1621633,9.378474,228.92442,27.75,79.7,1011.6917,2.25
5.0,83.75,2026-08-28,1,6.619902,6.562163,9.321217,225.25098,27.850006,79.2,1011.80975,1.5
5.0,84.0,2026-08-28,1,6.3199024,6.802163,9.2849655,222.89523,27.850006,79.8,1011.7977,0.875
5.0,84.25,2026-08-28,1,5.9699025,6.702163,8.975451,221.69283,27.950012,80.5,1011.74976,0.75
5.0,84.5,2026-08-28,1,5.869902,6.722163,8.924305,221.128,27.850006,80.1,1011.8158,0.6875
5.0,84.75,2026-08-28,1,5.7099023,6.8721633,8.934742,219.72232,27.950012,80.8,1011.72174,0.3125
5.0,85.0,2026-08-28,1,5.639902,7.1421633,9.100494,218.29684,27.950012,79.5,1011.76373,0.125
5.0,85.25,2026-08-28,1,5.559902,7.042163,8.972434,218.29167,27.950012,80.3,1011.71375,0.125
5.0,85.5,2026-08-28,1,5.1699023,6.982163,8.687836,216.5179,27.950012,80.0,1011.84174,0.1875
5.0,85.75,2026-08-28,1,5.389902,6.942163,8.788895,217.8258,28.050018,79.3,1011.80774,0.125
5.0,86.0,2026-08-28,1,5.2999024,7.1221633,8.877735,216.6545,28.050018,79.8,1011.7658,0.25
5.0,86.25,2026-08-28,1,5.2599025,7.002163,8.757674,216.91324,28.149994,78.3,1011.7798,0.25
5.0,86.5,2026-08-28,1,5.2999024,6.882163,8.686377,217.59961,28.149994,78.2,1011.73773,0.125
5.0,86.75,2026-08-28,1,4.869902,7.132163,8.636186,214.3256,28.149994,77.8,1011.8398,0.125
5.0,87.0,2026-08-28,1,4.6999025,7.482163,8.835828,212.1349,28.149994,77.7,1011.8758,0.125
