latitude,longitude,time,step,heightAboveGround,valid_time,u10,v10,t2m,r2,meanSea,prmsl,surface,t,tp,wind_speed,wind_direction
5.0,65.0,2026-08-27,1 days,10.0,2026-08-28,2.9199023,1.9921631,300.9,75.4,0.0,101253.17,0.0,301.9,0.1875,3.5347621,235.69543
5.0,65.25,2026-08-27,1 days,10.0,2026-08-28,2.9199023,1.8221631,300.9,75.9,0.0,101253.375,0.0,301.9,0.0625,3.4418175,238.03381
5.0,65.5,2026-08-27,1 days,10.0,2026-08-28,2.6899023,1.8421631,300.9,76.7,0.0,101259.375,0.0,301.9,0.0625,3.260236,235.59496
5.0,65.75,2026-08-27,1 days,10.0,2026-08-28,2.3899024,1.8521631,300.9,76.1,0.0,101267.58,0.0,301.9,0.0625,3.0235975,232.22449
5.0,66.0,2026-08-27,1 days,10.0,2026-08-28,2.4099023,2.0221632,301.0,75.5,0.0,101269.98,0.0,301.9,0.0625,3.1459136,229.9998
5.0,66.25,2026-08-27,1 days,10.0,2026-08-28,2.4199023,1.9821631,301.0,76.6,0.0,101271.375,0.0,302.0,0.0625,3.128082,230.6788
5.0,66.5,2026-08-27,1 days,10.0,2026-08-28,2.5599024,1.382163,301.0,75.6,0.0,101268.58,0.0,302.0,0.0,2.9092052,241.63416
5.0,66.75,2026-08-27,1 days,10.0,2026-08-28,2.5499024,0.9821631,301.0,73.9,0.0,101273.98,0.0,302.0,0.0,2.7325165,248.93448
5.0,67.0,2026-08-27,1 days,10.0,2026-08-28,2.2899024,0.9821631,301.1,72.7,0.0,101284.77,0.0,302.1,0.0,2.4916456,246.785
5.0,67.25,2026-08-27,1 days,10.0,2026-08-28,2.4699023,1.0321631,301.1,72.4,0.0,101291.58,0.0,302.1,0.0,2.676897,247.32013
5.0,67.5,2026-08-27,1 days,10.0,2026-08-28,3.1699023,0.74216306,301.2,72.7,0.0,101285.58,0.0,302.1,0.125,3.2556238,256.8228
5.0,67.75,2026-08-27,1 days,10.0,2026-08-28,3.8999023,0.4221631,301.2,73.3,0.0,101270.375,0.0,302.1,0.9375,3.9226854,263.8218
5.0,68.0,2026-08-27,1 days,10.0,2026-08-28,3.7699022,0.7521631,301.1,74.4,0.0,101271.77,0.0,302.1,2.0,3.844205,258.71664
5.0,68.25,2026-08-27,1 days,10.0,2026-08-28,4.0099025,0.4621631,301.0,74.0,0.0,101270.375,0.0,302.1,1.5625,4.036448,263.42535
5.0,68.5,2026-08-27,1 days,10.0,2026-08-28,4.539902,0.14216308,301.2,74.2,0.0,101262.98,0.0,302.2,0.8125,4.5421276,268.20642
5.0,68.75,2026-08-27,1 days,10.0,2026-08-28,4.8399024,-0.027836913,301.3,74.3,0.0,101257.58,0.0,302.2,1.5625,4.8399825,270.32953
5.0,69.0,2026-08-27,1 days,10.0,2026-08-28,4.5899024,0.102163084,301.3,73.8,0.0,101259.17,0.0,302.1,2.8125,4.591039,268.7249
5.0,69.25,2026-08-27,1 days,10.0,2026-08-28,4.349902,0.3921631,301.4,73.3,0.0,101262.17,0.0,302.1,2.375,4.3675437,264.84845
5.0,69.5,2026-08-27,1 days,10.0,2026-08-28,4.1999025,0.6621631,301.5,72.8,0.0,101256.58,0.0,302.1,0.6875,4.251781,261.0404
5.0,69.75,2026-08-27,1 days,10.0,2026-08-28,3.9199023,0.6021631,301.5,72.8,0.0,101269.77,0.0,302.0,0.375,3.9658837,261.26666
5.0,70.0,2026-08-27,1 days,10.0,2026-08-28,3.5599024,0.4321631,301.3,73.6,0.0,101271.58,0.0,302.0,0.75,3.586038,263.0783
5.0,70.25,2026-08-27,1 days,10.0,2026-08-28,4.579902,-0.15783691,301.1,75.0,0.0,101249.375,0.0,302.0,0.4375,4.582621,271.97382
5.0,70.5,2026-08-27,1 days,10.0,2026-08-28,5.1499023,-0.33783692,301.2,74.9,0.0,101239.98,0.0,301.9,0.4375,5.1609716,273.75327
5.0,70.75,2026-08-27,1 days,10.0,2026-08-28,4.289902,-0.24783692,301.4,74.1,0.0,101261.17,0.0,301.9,1.25,4.2970552,273.30643
5.0,71.0,2026-08-27,1 days,10.0,2026-08-28,3.7199023,0.022163086,301.3,75.1,0.0,101265.98,0.0,301.9,2.0,3.7199683,269.65863
5.0,71.25,2026-08-27,1 days,10.0,2026-08-28,3.3199024,0.5321631,300.7,78.5,0.0,101286.375,0.0,301.9,3.5,3.3622835,260.89325
5.0,71.5,2026-08-27,1 days,10.0,2026-08-28,4.039902,0.4321631,300.5,78.3,0.0,101283.77,0.0,301.8,3.6875,4.0629516,263.8941
